"league_name","league_id"
"#SFB12 23","12549"
"#SFB12 5","14074"
"#SFB12 4","14861"
"#SFB12 12","16404"
"#SFB12 14","20921"
"#SFB12 26","21984"
"#SFB12 10","25400"
"#SFB12 27","28405"
"#SFB12 22","28447"
"#SFB12 11","29019"
"#SFB12 17","43482"
"#SFB12 9","46048"
"#SFB12 21","46640"
"#SFB12 18","51676"
"#SFB12 3","52637"
"#SFB12 16","55021"
"#SFB12 20","55369"
"#SFB12 19","58678"
"#SFB12 2","59098"
"#SFB12 1","59464"
"#SFB12 13","59640"
"#SFB12 8","59711"
"#SFB12 15","62083"
"#SFB12 28","62858"
"#SFB12 6","66174"
"#SFB12 25","67703"
"#SFB12 24","68881"
"#SFB12 7","73143"
