league_id,league_name
851201790119612416,#SFB12 Denver
850083878629650432,"#SFB12 Titan, Marvel"
850083448797364224,#SFB12 New New York
850082872147718144,#SFB12 Bikini Bottom
850082477857976320,#SFB12 Eagan
850055201854459904,#SFB12 Los Angeles Live 4
850054059019837440,#SFB12 Los Angeles Live 2
850052814938935296,#SFB12 Los Angeles Live 1
850050813224157184,#SFB12 Boston Live 2
850049372166135808,#SFB12 Vancouver Live 2
850048770828787712,#SFB12 Vancouver Live 1
850046604609191936,#SFB12 Boston Live 1
850046076336615424,#SFB12 Orlando Live 2  Magic Kingdom Division
850045295726280704,#SFB12 Orlando Live 1 Epcot Division
849436298744807424,#SFB12 Canton Live 3
849435946746220544,#SFB12 Canton Live 2
849435240047968256,#SFB12 Canton Live 1
848677432117547008,#SFB12 Seattle Live
848670866949644288,#SFB12 Buffalo Live 2
848670056069066752,#SFB12 Buffalo Live 1
848661473927499776,#SFB12 Minneapolis Live 4
848661089368530944,#SFB12 Minneapolis Live 3
848659898794348544,#SFB12 Minneapolis Live 2
819245597386240000,#SFB12 Minneapolis Live 1
848322512864518144,#SFB12 San Francisco Live 2
848321834251300864,#SFB12 San Francisco Live 1
848316511184625664,#SFB12 Chicago Live 3
848316419237052416,#SFB12 Chicago Live 2
848316313632907264,#SFB12 Chicago Live 1
848311681724583936,#SFB12 Atlanta Live 2
848310554803179520,#SFB12 Atlanta Live 1
